"","age","sex","country","anthropomorphism","mentalizing","vividnessImagery","dualism","promiscuousTelology","crtCorrect","existentialInsecurity","toleranceAmbinguity","rationalityImportance","beliefInGod_ord","agnosticism_ord","religiousAttendance","prayerFrequency","antiReligiosity","godKnowingPossibility","beliefConfidence","apatheismGod","apatheismPurpose","apatheism","truthPossibility","supernaturalism","afterlifeExistence","afterlifeReward","afterlifePunishment","reincarnation","astrology","mysticalPeople","mysticalObjects","goodEvil","universalLifeforce","karma","fate","supernatualBeings","goodSupernaturalBeings","harmfulSupernaturalBeings","evilEye","beliefInGod_cat","nonBeliefIdentity","beliefInGod_bin","agnosticIdentity_bin","religID_1","religID_2","religiousAttendance.1","prayerFrequency.1","religiousObjects","caregiverReligiosity","caregiverReligiousID","caregiverReligiosity2","caregiverReligiousID2","atheistMembership","atheistID","naturalism","spiritualForce"
"1",48,"Male","Japan",-1.1454452252579,3.94815371011169,0.617206661008774,2.36914231892774,-4.19993525951959,2.27160485490858,-1.40935466612891,2.10465987689054,-3.5186896814185,5,3,3,4,3,5,5,4,6,7,4,3,4,6,2,7,7,2,7,6,7,1,7,2,1,3,2,"6. I know God really exists and I have no doubt about it.","2. Seeker","1","0","1","Jewish","Less often","Once a day","Yes, for religious reasons","0","Sunni","1","Protestant","1","1","1","I've had an experience like this, but I didn't associate it with a spiritual force."
"2",32,"Male","Brazil",2.35806957307525,-0.987405602865779,-1.09315052597017,-0.885624742013212,-2.56946399372983,-0.914561580274738,-2.96907383365286,-0.848339994764025,-0.729063834435545,7,6,7,2,5,4,2,2,4,4,7,3,3,7,4,3,4,1,7,6,4,6,1,3,7,6,2,"4. I find myself believing in God some of the time, but not at others","6. Humanist","1","1","0","Hindu","Once a week","Several times each week","Yes, for religious reasons","1","Confucian","1","Hindu","1","1","0","No, I've never had an experience like this."
"3",68,"Female","China",-1.74982965583661,2.30848596830265,3.79011374929071,2.09389185274819,0.348745232697511,-0.624681521027447,4.05950375482631,3.59123706754525,-0.687895446064011,7,6,3,5,7,2,2,2,4,3,1,5,4,1,7,3,7,7,2,1,4,5,4,2,4,7,4,"1. I don't believe in God","7. Sceptic","1","1","0","Shinto","Once a month","Only on special holy days","Yes, for religious reasons","1","Sunni","1","Confucian","0","0","0","No, I've never had an experience like this."
"4",31,"Female","USA",1.46779653982253,-1.72882664305036,3.91669885093549,2.65585496342874,0.897160633904294,-3.06837091594908,-1.7365358347737,0.629091093567017,2.48496787916394,7,5,3,7,3,6,7,2,1,4,4,6,5,7,1,4,4,5,4,6,7,7,5,6,4,5,5,"6. I know God really exists and I have no doubt about it.","4. Atheist","0","1","1","Protestant","Only on special holy days","Several times each week","Yes, for non-religious reasons","0","Shiite","0","Shiite","0","1","0","I've had an experience like this, but I didn't associate it with a spiritual force."
"5",20,"Male","Brazil",2.70441928727153,0.223028341154487,4.49341471668619,0.436365693842679,0.793844439738353,-1.88769845543816,1.73455814878093,0.931214673729481,-2.90411076326306,4,2,4,1,4,2,6,1,6,3,6,6,1,1,7,5,5,6,2,7,5,3,2,4,4,5,2,"3. I don't believe in a personal God, but I do believe in a Higher Power of some kind","1. Spiritual but not Religious","1","1","0","Daoist","Never, practically never","Only on special holy days","No","0","Shinto","0","Catholic","0","1","1","Yes, I've had an experience like this."
"6",59,"Female","China",-1.07481762474537,-2.75383645185314,-0.153134276733813,-1.24024147326861,5.2364088972826,-1.95511021202366,0.14321146980189,-3.43933624444452,3.66663490173715,6,4,3,2,4,6,7,2,3,3,1,3,7,2,5,2,3,1,1,3,3,4,5,7,3,1,1,"6. I know God really exists and I have no doubt about it.","2. Seeker","0","0","0","Buddhist","Once a week","Several times each week","No","1","Shinto","1","Catholic","0","0","0","Yes, I've had an experience like this."
"7",67,"Male","Japan",4.30134891718634,1.27059375412045,-3.19731094552849,-2.98279133816711,0.185432446134806,0.0905079403931962,0.873908379775872,0.200315494124053,-1.0300517347109,7,6,3,6,7,2,3,2,3,7,3,2,6,3,1,3,2,1,2,3,6,1,4,3,1,2,7,"3. I don't believe in a personal God, but I do believe in a Higher Power of some kind","4. Atheist","0","0","0","Sunni","Less often","Less often","No","0","Orthodox","0","Buddhist","1","0","1","Yes, I've had an experience like this."
"8",71,"Female","UK",-1.71411387922807,1.00999353209346,4.21206061085966,-0.0629025489596504,-2.03255481874532,3.2067704120493,-1.63141720096448,-0.701154990544438,-2.33506564989511,2,7,3,3,3,6,7,5,3,3,3,5,7,5,2,6,7,6,6,7,2,3,5,6,7,6,5,"3. I don't believe in a personal God, but I do believe in a Higher Power of some kind","6. Humanist","1","0","0","Shiite","Once a year","Once a year","No","0","Orthodox","1","Shinto","1","0","1","No, I've never had an experience like this."
"9",60,"Female","Japan",1.689146425802,1.52321188118846,-2.27507519504888,-4.35820653192417,1.17155741615636,-4.97018779577913,-2.12976262427922,-0.347290011226277,0.656749152164141,5,2,6,1,1,1,2,2,7,4,3,7,3,1,7,2,6,3,4,5,4,2,6,3,1,1,1,"7. Don't know","7. Sceptic","0","0","1","Sunni","Less often","Once a year","No","1","Daoist","0","Confucian","0","0","1","I've had an experience like this, but I didn't associate it with a spiritual force."
"10",54,"Female","Brazil",-0.72827012546244,-1.58777884321842,4.19768816908162,1.01186535606948,-3.67766294163963,-3.73219313317706,-0.922640743529913,3.29115314592802,2.84859569005366,4,2,6,1,7,6,1,7,2,3,6,6,2,2,1,6,6,6,1,1,4,6,1,6,6,5,7,"7. Don't know","7. Sceptic","1","1","1","Orthodox","Once a week","Once a year","Yes, for religious reasons","0","Jewish","0","Daoist","1","0","0","I've had an experience like this, but I didn't associate it with a spiritual force."
