"","age","sex","country","anthropomorphism","mentalizing","vividnessImagery","dualism","promiscuousTelology","crtCorrect","existentialInsecurity","toleranceAmbinguity","rationalityImportance","beliefInGod_ord","agnosticism_ord","religiousAttendance","prayerFrequency","antiReligiosity","godKnowingPossibility","beliefConfidence","apatheismGod","apatheismPurpose","apatheism","truthPossibility","supernaturalism","afterlifeExistence","afterlifeReward","afterlifePunishment","reincarnation","astrology","mysticalPeople","mysticalObjects","goodEvil","universalLifeforce","karma","fate","supernatualBeings","goodSupernaturalBeings","harmfulSupernaturalBeings","evilEye","beliefInGod_cat","nonBeliefIdentity","beliefInGod_bin","agnosticIdentity_bin","religID_1","religID_2","religiousAttendance.1","prayerFrequency.1","religiousObjects","caregiverReligiosity","caregiverReligiousID","caregiverReligiosity2","caregiverReligiousID2","atheistMembership","atheistID","naturalism","spiritualForce"
"1",48,"Male","Japan",1.48184066528517,-0.320058724228354,0.81965561502551,-0.739198299753762,-4.31365890850155,-1.2865852207681,-3.2048989245146,2.61371116635095,-1.05429332845858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7. Don't know","6. Humanist","1","0","1","Protestant","Once a year","Less often","Yes, for non-religious reasons","0","Orthodox","1","Other","0","1","0","Yes, I've had an experience like this."
"2",32,"Male","Brazil",0.120166290171892,-1.66050305903794,0.416315736657197,-3.60308637316143,2.73695871422171,0.357166114965974,1.86545695314589,-1.99536728497858,-2.53734808026039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5. While I have doubts, I feel that I do believe in God.","1. Spiritual but not Religious","1","0","0","Other","Only on special holy days","Only on special holy days","Yes, for religious reasons","1","Orthodox","0","Confucian","0","0","1","I've had an experience like this, but I didn't associate it with a spiritual force."
"3",68,"Female","China",-0.748572903936866,-2.65691545326923,-0.68413444346638,0.567281267249715,-1.30487726199721,0.0193966974363819,0.289921294072529,3.07769469312314,3.02763414192678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4. I find myself believing in God some of the time, but not at others","7. Sceptic","1","0","0","Orthodox","More than once a week","Once a day","No","1","Shinto","0","Shinto","0","1","0","I've had an experience like this, but I didn't associate it with a spiritual force."
"4",31,"Female","USA",-0.880372170315255,-0.895668110882962,-2.21184192991035,0.875656397435707,2.58932648412169,3.01929898790214,1.67597561393515,-0.686523280421941,-2.57884614757136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. I don't believe in God","4. Atheist","0","1","0","Orthodox","Once a year","Only on special holy days","Yes, for non-religious reasons","0","Protestant","0","Sunni","1","1","1","No, I've never had an experience like this."
"5",20,"Male","Brazil",-2.1470257791494,1.81110930331008,-2.6238678253329,-3.92523924111712,-1.70463901666646,-3.73362736991453,-0.348636450015584,-0.984883446103696,-0.153852071313045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6. I know God really exists and I have no doubt about it.","5. Agnostic","0","1","1","Sunni","Less often","Several times a day","No","1","Confucian","1","Shinto","0","0","0","I've had an experience like this, but I didn't associate it with a spiritual force."
"6",59,"Female","China",-2.52108402902637,-2.11628643097224,-1.35521602898486,0.830705798929994,-0.698831988173958,-3.30917045922427,-2.21732863503822,-3.44826138076994,-2.92561443025918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. I don't believe in God","1. Spiritual but not Religious","1","1","0","Daoist","Never, practically never","Once a year","Yes, for religious reasons","1","Hindu","1","Buddhist","1","0","0","I've had an experience like this, but I didn't associate it with a spiritual force."
"7",67,"Male","Japan",-0.173046359623647,0.59938313826447,-2.02915379810067,-0.614957078109857,0.700840105216361,2.81346708695341,2.33548020389418,3.27000413488756,1.56147147621064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5. While I have doubts, I feel that I do believe in God.","6. Humanist","0","0","0","Protestant","Less often","Never, practically never","Yes, for religious reasons","1","Jewish","0","Daoist","1","0","0","Yes, I've had an experience like this."
"8",71,"Female","UK",-2.89551013454641,-3.23067287224097,-3.18415598078059,4.14455612209161,-0.214912176726274,0.266387494328665,-1.5474029457473,-0.256884333116777,-2.60928439528844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7. Don't know","7. Sceptic","1","0","1","Orthodox","Once a month","Several times a day","No","0","Hindu","1","Buddhist","1","1","1","I've had an experience like this, but I didn't associate it with a spiritual force."
"9",60,"Female","Japan",-3.6691080634648,3.9546843868531,1.52315720924874,-1.96595632765962,0.573905074602369,3.3488763514811,3.15839217030094,1.49234776977558,-0.214869003856072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7. Don't know","2. Seeker","1","1","0","Confucian","Once a month","Only when attending religious services","No","0","Sunni","1","Protestant","0","0","1","I've had an experience like this, but I didn't associate it with a spiritual force."
"10",54,"Female","Brazil",-1.3052702919609,-1.35256565959857,4.11994505152003,-2.76113300960759,0.220776595288581,0.512040911590022,-0.863897175317357,0.674887951128383,-0.790959618540908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2. I don't know whether there is a God, and I don't believe there is any way to find out","6. Humanist","1","0","1","Buddhist","Once a year","Less often","No","1","Other","0","Catholic","0","1","0","No, I've never had an experience like this."
